Kunde,Produktnummer,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Gesamt
1,55,142,160,50,157,94,47,52,608,257,0,107,0,1674
1,56,34,57,38,0,50,0,1,162,72,0,23,18,455
1,57,193,252,30,49,68,0,291,180,127,129,44,16,1380
1,58,2330,15781,390,56,51,1928,1084,0,1589,0,0,0,23210
1,59,25609,20786,16985,18042,20906,10046,5008,1124,4620,1691,1504,623,126944
1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1,61,28481,5065,13450,8386,21831,9927,517,1297,2374,5106,9504,3871,109809
1,62,708,0,8814,8522,9132,9610,30821,9818,10525,27362,26799,11602,153714
1,63,0,0,0,0,0,0,0,0,729,0,0,0,7129
1,64,0,0,0,0,0,0,0,0,11,0,0,0,11
1,65,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,66,28026,24395,24496,28483,22301,29603,16255,27149,15264,22099,19782,12114,269966
1,67,0,0,0,0,0,0,0,0,7486,0,0,0,7486
1,68,0,0,0,0,0,0,0,0,0,0,0,0,0


